기관코드	전체기관명	최하위기관명	차수	서열	소속기관차수	차상위기관코드	최상위기관코드	대표기관코드	유형분류_대	유형분류_중	유형분류_소	우편번호	행정동코드	소재지코드	나머지주소	지번	전화번호	팩스번호	생성일자	폐지일자	변경일자	존폐여부	이전기관코드
6280000	인천광역시	인천광역시	1	062	0	0000000	6280000	6280000	02	01	04		28000000	NULL	NULL	NULL	032-427-0011	NULL	19950101	NULL	20081007	0	6280295
6280001	인천광역시 시장	시장	2	001	NULL	6280000	6280000	6280000	02	08	NULL		NULL	NULL	NULL	0	032-440-2001	032-440-2009	19950101	NULL	20050131	0	NULL
6280002	인천광역시 행정부시장	행정부시장	2	002	NULL	6280000	6280000	6280000	02	09	01		NULL	NULL	NULL	0	032-440-2010	032-440-2019	19950101	NULL	20050131	0	NULL
6280003	인천광역시 정무부시장	정무부시장	2	003	NULL	6280000	6280000	6280000	02	09	01		NULL	NULL	NULL	0	032-440-2020	032-440-2029	19950101	20150115	20150115	1	NULL
6280004	인천광역시 공보관	공보관	2	003	NULL	6280000	6280000	6280000	02	10	01		NULL	NULL	NULL	0	032-440-2030	032-440-2039	19891001	20100728	20100802	1	NULL
6280005	인천광역시 투자진흥관	투자진흥관	2	003	0	6280000	6280000	6280000	02	10	01		NULL	NULL	NULL	0	032-440-3130	032-440-3039	19980918	20010827	20010831	1	NULL
6280006	인천광역시 감사관	감사관	2	003	1	6280000	6280000	6280000	02	10	01								20160516		20210611	0	NULL
6280007	인천광역시 기획관리실	기획관리실	2	003	1	6280000	6280000	6280000	02	09	02		NULL	NULL	NULL	NULL	NULL	NULL	20121026	20150121	20150121	1	NULL
6280008	인천광역시 기획관리실 기획관	기획관	3	001	0	6280007	6280000	6280000	02	10	01		NULL	NULL	NULL	000000000	032-440-2130	032-440-2139	19950213	20030616	20030616	1	NULL
6280009	인천광역시 기획관리실 예산담당관	예산담당관	3	012	1	6280007	6280000	6280000	02	10	02		NULL	NULL	NULL	NULL	NULL	NULL	20050426	20150119	20150119	1	NULL
6280010	인천광역시 기획관리실 법무담당관	법무담당관	3	001	NULL	6280007	6280000	6280000	02	10	02		NULL	NULL	NULL	0	032-440-2280	032-427-8312	19810701	20070423	20070419	1	NULL
6280011	인천광역시 기획관리실 정보화담당관	정보화담당관	3	027	1	6280007	6280000	6280000	02	10	02		NULL	NULL	NULL	NULL	NULL	NULL	20050426	20110217	20110225	1	NULL
6280012	인천광역시 자치행정국	자치행정국	2	003	1	6280000	6280000	6280000	02	09	03		NULL	NULL	NULL	NULL	NULL	NULL	20121026	20131002	20131002	1	NULL
6280013	인천광역시 자치행정국 자치지원과	자치지원과	3	001	0	6280012	6280000	6280000	02	09	05		NULL	NULL	NULL	000000000	NULL	NULL	19980918	20030101	20030101	1	NULL
6280014	인천광역시 자치행정국 인력관리과	인력관리과	3	001	0	6280012	6280000	6280000	02	09	05		NULL	28000	NULL	0	NULL	NULL	19980918	20000731	20001101	1	NULL
6280015	인천광역시 자치행정국 세정과	세정과	3	012	0	6280012	6280000	6280000	02	09	05		NULL	NULL	NULL	NULL	NULL	NULL	20050426	20130930	20130930	1	NULL
6280016	인천광역시 자치행정국 회계과	회계과	3	003	0	6280012	6280000	6280000	02	09	05		NULL	NULL	NULL	NULL	032-440-2540	032-440-2599	19400401	20081231	20090106	1	NULL
6280017	인천광역시 자치행정국 민방위비상대책과	민방위비상대책과	3	006	0	6280012	6280000	6280000	02	09	05		NULL	NULL	NULL	000000000	032-440-2620	032-440-2629	19960108	20030101	20030101	1	NULL
6280018	인천광역시 사회복지여성국	사회복지여성국	2	003	0	6280000	6280000	6280000	02	09	03		NULL	NULL	NULL	000000000	032-440-2300	NULL	19980918	20030101	20030101	1	NULL
6280019	인천광역시 사회복지여성국 사회복지과	사회복지과	3	001	0	6280018	6280000	6280000	02	09	05		NULL	NULL	NULL	000000000	032-440-2650	032-440-2659	19970307	20030101	20030101	1	NULL
6280020	인천광역시 사회복지여성국 여성복지과	여성복지과	3	002	0	6280018	6280000	6280000	02	09	05		NULL	NULL	NULL	000000000	NULL	NULL	19980918	20030101	20030101	1	NULL
6280021	인천광역시 사회복지여성국 보건위생과	보건위생과	3	002	0	6280018	6280000	6280000	02	09	05		NULL	NULL	NULL	000000000	NULL	NULL	19980918	20030101	20030101	1	NULL
6280022	인천광역시 경제통상국	경제통상국	2	003	NULL	6280000	6280000	6280000	02	09	03		NULL	NULL	NULL	0	032-440-2400	NULL	19980918	20110217	20110223	1	NULL
6280023	인천광역시 경제통상국 경제정책과	경제정책과	3	001	0	6280022	6280000	6280000	02	09	05		NULL	NULL	NULL	NULL	032-440-2790	032-440-2799	19951113	20080826	20080909	1	NULL
