IC61211120250730000000000000932                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   35200933005101송도1동                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0141송도1동                                                                                                                                                                                                                                                                                                     3005행정복지센터                                                                                                                                                                                                                                                                                                                                                   
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   99999993005000동행정복지센터                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      0050옥련1동                                                                                                                                                                                                                                                                                                     3005행정복지센터                                                                                                                                                                                                                                                                                                                                                   
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   35202271010010총무과                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              0010본청                                                                                                                                                                                                                                                                                                        1030자치행정국                                                                                                                                                                                                                                                                                                                                                     
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   99999991105000직속기관                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0030연수구보건소                                                                                                                                                                                                                                                                                                1105직속기관                                                                                                                                                                                                                                                                                                                                                       
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   35201192005010의회사무국                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          0020의회                                                                                                                                                                                                                                                                                                        2005연수구의회                                                                                                                                                                                                                                                                                                                                                     
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   35200233005050연수2동                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0090연수2동                                                                                                                                                                                                                                                                                                     3005행정복지센터                                                                                                                                                                                                                                                                                                                                                   
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   35200243005060연수3동                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0100연수3동                                                                                                                                                                                                                                                                                                     3005행정복지센터                                                                                                                                                                                                                                                                                                                                                   
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   35200943005102송도2동                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0142송도2동                                                                                                                                                                                                                                                                                                     3005행정복지센터                                                                                                                                                                                                                                                                                                                                                   
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   35202021005010기획예산과                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          0010본청                                                                                                                                                                                                                                                                                                        1027기획경제국                                                                                                                                                                                                                                                                                                                                                     
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   35202051010030재무회계과                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          0010본청                                                                                                                                                                                                                                                                                                        1027기획경제국                                                                                                                                                                                                                                                                                                                                                     
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   35200503005010옥련1동                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0050옥련1동                                                                                                                                                                                                                                                                                                     3005행정복지센터                                                                                                                                                                                                                                                                                                                                                   
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   35200263005080동춘1동                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0120동춘1동                                                                                                                                                                                                                                                                                                     3005행정복지센터                                                                                                                                                                                                                                                                                                                                                   
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   35200781105013건강증진과                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          0030연수구보건소                                                                                                                                                                                                                                                                                                1105직속기관                                                                                                                                                                                                                                                                                                                                                       
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   35200223005040연수1동                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0080연수1동                                                                                                                                                                                                                                                                                                     3005행정복지센터                                                                                                                                                                                                                                                                                                                                                   
IC6121223520000인천광역시 연수구                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   35202011013001기획경제국                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          0010본청                                                                                                                                                                                                                                                                                                        1027기획경제국                                                                                                                                                                                                                                                                                                                                                     
